tier,zone,zone_id,start_day,end_day,start_hour,end_hour,start_ts,end_ts,max_lceq
0,D,mellow,4,4,9,12,2026-07-23 09:00,2026-07-23 12:00,92
0,D,mellow,4,4,12,22,2026-07-23 12:00,2026-07-23 22:00,98
0,D,mellow,4,5,22,9,2026-07-23 22:00,2026-07-24 09:00,92
0,D,mellow,5,5,9,12,2026-07-24 09:00,2026-07-24 12:00,92
0,D,mellow,5,6,12,2,2026-07-24 12:00,2026-07-25 02:00,98
0,D,mellow,6,6,2,9,2026-07-25 02:00,2026-07-25 09:00,92
0,D,mellow,6,6,9,12,2026-07-25 09:00,2026-07-25 12:00,92
0,D,mellow,6,7,12,2,2026-07-25 12:00,2026-07-26 02:00,98
0,D,mellow,7,7,2,9,2026-07-26 02:00,2026-07-26 09:00,92
0,D,mellow,7,7,9,12,2026-07-26 09:00,2026-07-26 12:00,92
0,D,mellow,7,7,12,22,2026-07-26 12:00,2026-07-26 22:00,98
0,D,mellow,7,8,22,9,2026-07-26 22:00,2026-07-27 09:00,92
0,E,chill,0,0,9,22,2026-07-19 09:00,2026-07-19 22:00,92
0,E,chill,0,1,22,9,2026-07-19 22:00,2026-07-20 09:00,80
0,E,chill,1,1,9,22,2026-07-20 09:00,2026-07-20 22:00,92
0,E,chill,1,2,22,9,2026-07-20 22:00,2026-07-21 09:00,80
0,E,chill,2,2,9,22,2026-07-21 09:00,2026-07-21 22:00,92
0,E,chill,2,3,22,9,2026-07-21 22:00,2026-07-22 09:00,80
0,E,chill,3,3,9,22,2026-07-22 09:00,2026-07-22 22:00,92
0,E,chill,3,4,22,9,2026-07-22 22:00,2026-07-23 09:00,80
0,E,chill,4,4,9,22,2026-07-23 09:00,2026-07-23 22:00,92
0,E,chill,4,5,22,9,2026-07-23 22:00,2026-07-24 09:00,80
0,E,chill,5,5,9,22,2026-07-24 09:00,2026-07-24 22:00,92
0,E,chill,5,6,22,9,2026-07-24 22:00,2026-07-25 09:00,80
0,E,chill,6,6,9,22,2026-07-25 09:00,2026-07-25 22:00,92
0,E,chill,6,7,22,9,2026-07-25 22:00,2026-07-26 09:00,80
0,E,chill,7,7,9,22,2026-07-26 09:00,2026-07-26 22:00,92
0,E,chill,7,8,22,9,2026-07-26 22:00,2026-07-27 09:00,80
0,F,quiet,0,0,9,22,2026-07-19 09:00,2026-07-19 22:00,80
0,F,quiet,0,1,22,9,2026-07-19 22:00,2026-07-20 09:00,50
0,F,quiet,1,1,9,22,2026-07-20 09:00,2026-07-20 22:00,80
0,F,quiet,1,2,22,9,2026-07-20 22:00,2026-07-21 09:00,50
0,F,quiet,2,2,9,22,2026-07-21 09:00,2026-07-21 22:00,80
0,F,quiet,2,3,22,9,2026-07-21 22:00,2026-07-22 09:00,50
0,F,quiet,3,3,9,22,2026-07-22 09:00,2026-07-22 22:00,80
0,F,quiet,3,4,22,9,2026-07-22 22:00,2026-07-23 09:00,50
0,F,quiet,4,4,9,22,2026-07-23 09:00,2026-07-23 22:00,80
0,F,quiet,4,5,22,9,2026-07-23 22:00,2026-07-24 09:00,50
0,F,quiet,5,5,9,22,2026-07-24 09:00,2026-07-24 22:00,80
0,F,quiet,5,6,22,9,2026-07-24 22:00,2026-07-25 09:00,50
0,F,quiet,6,6,9,22,2026-07-25 09:00,2026-07-25 22:00,80
0,F,quiet,6,7,22,9,2026-07-25 22:00,2026-07-26 09:00,50
0,F,quiet,7,7,9,22,2026-07-26 09:00,2026-07-26 22:00,80
0,F,quiet,7,8,22,9,2026-07-26 22:00,2026-07-27 09:00,50
1,A,wild,0,1,9,9,2026-07-19 09:00,2026-07-20 09:00,113
1,A,wild,1,2,9,9,2026-07-20 09:00,2026-07-21 09:00,113
1,A,wild,2,3,9,9,2026-07-21 09:00,2026-07-22 09:00,113
1,A,wild,3,4,9,9,2026-07-22 09:00,2026-07-23 09:00,113
1,A,wild,4,5,9,9,2026-07-23 09:00,2026-07-24 09:00,113
1,A,wild,5,6,9,9,2026-07-24 09:00,2026-07-25 09:00,113
1,A,wild,6,7,9,9,2026-07-25 09:00,2026-07-26 09:00,113
1,A,wild,7,8,9,9,2026-07-26 09:00,2026-07-27 09:00,113
1,B,eveningParty,0,0,9,12,2026-07-19 09:00,2026-07-19 12:00,80
1,B,eveningParty,0,1,12,2,2026-07-19 12:00,2026-07-20 02:00,104
1,B,eveningParty,1,1,2,4,2026-07-20 02:00,2026-07-20 04:00,98
1,B,eveningParty,1,1,4,9,2026-07-20 04:00,2026-07-20 09:00,92
1,B,eveningParty,1,1,9,12,2026-07-20 09:00,2026-07-20 12:00,80
1,B,eveningParty,1,2,12,2,2026-07-20 12:00,2026-07-21 02:00,104
1,B,eveningParty,2,2,2,4,2026-07-21 02:00,2026-07-21 04:00,98
1,B,eveningParty,2,2,4,9,2026-07-21 04:00,2026-07-21 09:00,92
1,B,eveningParty,2,2,9,12,2026-07-21 09:00,2026-07-21 12:00,80
1,B,eveningParty,2,3,12,2,2026-07-21 12:00,2026-07-22 02:00,104
1,B,eveningParty,3,3,2,4,2026-07-22 02:00,2026-07-22 04:00,98
1,B,eveningParty,3,3,4,9,2026-07-22 04:00,2026-07-22 09:00,92
1,B,eveningParty,3,3,9,12,2026-07-22 09:00,2026-07-22 12:00,80
1,B,eveningParty,3,4,12,2,2026-07-22 12:00,2026-07-23 02:00,104
1,B,eveningParty,4,4,2,4,2026-07-23 02:00,2026-07-23 04:00,98
1,B,eveningParty,4,4,4,9,2026-07-23 04:00,2026-07-23 09:00,92
1,B,eveningParty,4,4,9,12,2026-07-23 09:00,2026-07-23 12:00,80
1,B,eveningParty,4,5,12,2,2026-07-23 12:00,2026-07-24 02:00,104
1,B,eveningParty,5,5,2,4,2026-07-24 02:00,2026-07-24 04:00,98
1,B,eveningParty,5,5,4,9,2026-07-24 04:00,2026-07-24 09:00,92
1,B,eveningParty,5,5,9,12,2026-07-24 09:00,2026-07-24 12:00,80
1,B,eveningParty,5,6,12,5,2026-07-24 12:00,2026-07-25 05:00,104
1,B,eveningParty,6,6,5,6,2026-07-25 05:00,2026-07-25 06:00,98
1,B,eveningParty,6,6,6,9,2026-07-25 06:00,2026-07-25 09:00,92
1,B,eveningParty,6,6,9,12,2026-07-25 09:00,2026-07-25 12:00,80
1,B,eveningParty,6,7,12,5,2026-07-25 12:00,2026-07-26 05:00,104
1,B,eveningParty,7,7,5,6,2026-07-26 05:00,2026-07-26 06:00,98
1,B,eveningParty,7,7,6,9,2026-07-26 06:00,2026-07-26 09:00,92
1,B,eveningParty,7,7,9,12,2026-07-26 09:00,2026-07-26 12:00,80
1,B,eveningParty,7,8,12,2,2026-07-26 12:00,2026-07-27 02:00,104
1,B,eveningParty,8,8,2,4,2026-07-27 02:00,2026-07-27 04:00,98
1,B,eveningParty,8,8,4,9,2026-07-27 04:00,2026-07-27 09:00,92
1,C,dayFestive,0,0,9,12,2026-07-19 09:00,2026-07-19 12:00,98
1,C,dayFestive,0,1,12,0,2026-07-19 12:00,2026-07-20 00:00,104
1,C,dayFestive,1,1,0,9,2026-07-20 00:00,2026-07-20 09:00,80
1,C,dayFestive,1,1,9,12,2026-07-20 09:00,2026-07-20 12:00,98
1,C,dayFestive,1,2,12,0,2026-07-20 12:00,2026-07-21 00:00,104
1,C,dayFestive,2,2,0,9,2026-07-21 00:00,2026-07-21 09:00,80
1,C,dayFestive,2,2,9,12,2026-07-21 09:00,2026-07-21 12:00,98
1,C,dayFestive,2,3,12,0,2026-07-21 12:00,2026-07-22 00:00,104
1,C,dayFestive,3,3,0,9,2026-07-22 00:00,2026-07-22 09:00,80
1,C,dayFestive,3,3,9,12,2026-07-22 09:00,2026-07-22 12:00,98
1,C,dayFestive,3,4,12,0,2026-07-22 12:00,2026-07-23 00:00,104
1,C,dayFestive,4,4,0,9,2026-07-23 00:00,2026-07-23 09:00,80
1,C,dayFestive,4,4,9,12,2026-07-23 09:00,2026-07-23 12:00,98
1,C,dayFestive,4,5,12,0,2026-07-23 12:00,2026-07-24 00:00,104
